Target	Source	Weight	Total	Type	max
AR30-67815546-9	NIKE	100.0	0.0	Directed	50.01
AT9110176544	NIKE	0.0	50.01	Directed	50.01
AT9110176544	NL32054966	100.0	100.0	Directed	100.0
AT9111059344	NL34186851	100.0	100.0	Directed	100.0
BM26246R	NIKE	100.0	50.01	Directed	50.01
BM27555R	NIKE	100.0	50.01	Directed	50.01
BM40095R	NIKE	100.0	50.01	Directed	50.01
BM40096R	NIKE	100.0	50.01	Directed	50.01
BM40097R	NIKE	100.0	50.01	Directed	50.01
BM40098R	NIKE	100.0	50.01	Directed	50.01
BM41148R	NIKE	100.0	50.01	Directed	50.01
BM41272R	NIKE	100.0	50.01	Directed	50.01
BM41362R	NIKE	100.0	50.01	Directed	50.01
BM41363R	NIKE	100.0	50.01	Directed	50.01
BM8283R	NIKE	100.0	50.01	Directed	50.01
BR10548697000193	BR59546515000134	0.0	0.0	Directed	0.0
BR10548697000193	NIKE	100.0	0.0	Directed	50.01
BR10548697000193	NL32124653	0.0	0.0	Directed	0.0
BR15502863000134	NIKE	100.0	0.0	Directed	50.01
BR15502863000134	NL32132604	0.0	0.0	Directed	0.0
BR15502863000134	NL32124653	0.0	0.0	Directed	0.0
BR2-95735	NIKE	100.0	100.0	Directed	100.0
BR23541259000145	NIKE	100.0	0.0	Directed	50.01
BR23541259000145	NL34186851	0.0	0.0	Directed	0.0
BR23541259000145	NL32124653	0.0	0.0	Directed	0.0
BR59546515000134	NIKE	100.0	0.0	Directed	50.01
BR59546515000134	NL32132604	0.0	0.0	Directed	0.0
BR59546515000134	NL32124653	0.0	0.0	Directed	0.0
CA132706169L	US128229956L	100.0	0.0	Directed	50.01
CA149102944L	NIKE	100.0	0.0	Directed	50.01
CA149198231L	NIKE	100.0	0.0	Directed	50.01
CALEI349625	NIKE	100.0	0.0	Directed	50.01
CALEI48579	NIKE	100.0	0.0	Directed	50.01
CHCHE106089157	NIKE	100.0	0.0	Directed	50.01
CHCHE106089157	NL32124657	0.0	0.0	Directed	0.0
CL966756705	NIKE	100.0	50.01	Directed	50.01
CL966756705	NL32135477	0.0	0.0	Directed	0.0
CN2-95741	NIKE	100.0	100.0	Directed	100.0
CN2-95742	NIKE	100.0	0.0	Directed	50.01
CN2-95743	NIKE	100.0	100.0	Directed	100.0
CN2-95744	NIKE	100.0	100.0	Directed	100.0
CN2-95745	NIKE	100.0	0.0	Directed	50.01
CN2-95748	NIKE	100.0	100.0	Directed	100.0
CN2-95749	NIKE	100.0	0.0	Directed	50.01
CN9363203275	HK0000201887	100.0	100.0	Directed	100.0
CN9363203275	NIKE	0.0	50.01	Directed	50.01
CN9390465226	HK0000201887	100.0	100.0	Directed	100.0
CN9390465226	NIKE	0.0	50.01	Directed	50.01
CN9397499964	NL32152659		0.0	Directed	0.0
CR3102661863	NIKE	100.0	100.0	Directed	100.0
CZ24845736	NIKE	20.164509495584856	50.01	Directed	50.01
CZ24845736	NL32057998	79.83549050441515	0.0	Directed	99.0
DE2151727670	NL34186851	100.0	100.0	Directed	100.0
DE6070490738	NIKE	0.0	50.01	Directed	50.01
DE6070490738	NL60578874	100.0	100.0	Directed	100.0
DK12530633	NIKE	0.0	50.01	Directed	50.01
